Species,Medium,Temperature_C,Light_umol_m2_s,Nitrate_mg_L,Phosphate_mg_L,CO2_pct,pH,Biomass_g_L,Lipid_pct,Biofuel_mL_per_g,Energy_Output_MJ_per_kg,Source,Data_Type
Chlorella vulgaris,Modified BG-11,33.4,203,1470.6,40.2,0.04,8.1,0.05,21.2,0.2048,21.76,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,25.3,674,480.5,70.6,3.0,8.0,0.43,18.0,0.1739,21.12,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlamydomonas reinhardtii,TAP,17.0,323,1728.9,145.2,10.0,6.3,0.57,12.3,0.1188,19.97,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella vulgaris,ORP Wastewater,12.5,1078,62.9,49.7,15.0,5.6,0.08,25.1,0.2424,22.55,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Bold's Basal Medium,21.9,843,903.9,37.8,0.04,5.0,0.05,15.4,0.1487,20.6,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella pyrenoidosa,Modified BG-11,13.2,588,1918.9,131.2,0.04,5.1,0.05,17.6,0.17,21.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Nannochloropsis sp.,Walne Medium,28.2,255,969.0,47.7,10.0,7.9,0.75,22.7,0.2193,22.06,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,Synthetic Medium,22.7,570,1735.0,199.8,2.0,9.5,0.15,14.3,0.1381,20.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus obliquus,ORP Wastewater,16.5,238,274.4,188.9,10.0,6.1,0.22,15.7,0.1516,20.66,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,8.7,193,1514.5,198.2,2.0,7.2,0.18,14.3,0.1381,20.37,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetradesmus obliquus,BG-11,10.0,29,250.3,32.9,2.0,5.9,0.05,21.3,0.2057,21.78,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,BG-11,14.0,764,1110.2,6.2,0.04,5.8,0.05,21.1,0.2038,21.74,Physics-constrained model (calibrated to species optima from literature),Modelled
Chlorella sorokiniana,Modified BG-11,27.1,458,160.8,7.9,2.0,5.4,0.05,22.0,0.2125,21.92,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,26.0,300,150.0,20.0,0.04,7.5,0.65,16.1,0.1555,20.74,Frontiers Enrg Res 2022 10.3389/fenrg.2022.912904,Real (measured)
Phaeodactylum tricornutum,f/2 Medium,22.6,399,384.2,14.2,10.0,9.0,0.21,24.3,0.2347,22.38,Physics-constrained model (calibrated to species optima from literature),Modelled
Monoraphidium braunii,Synthetic Medium,10.6,220,634.5,27.7,0.04,6.4,0.05,22.6,0.2183,22.04,Physics-constrained model (calibrated to species optima from literature),Modelled
Tetraselmis subcordiformis,f/2 Medium,31.9,194,1248.0,85.2,5.0,9.7,0.05,20.0,0.1932,21.52,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,28.1,76,1276.2,172.4,1.0,7.0,0.08,17.4,0.1681,21.0,Physics-constrained model (calibrated to species optima from literature),Modelled
Chromochloris zofingiensis,BG-11 N-stress,30.3,114,918.8,77.5,1.0,4.6,0.05,47.7,0.4607,27.09,Physics-constrained model (calibrated to species optima from literature),Modelled
Dunaliella salina,Modified f/2,18.0,52,178.6,9.7,0.04,6.8,0.05,18.2,0.1758,21.16,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus sp.,BG-11,19.3,772,544.3,179.0,0.04,6.3,0.07,15.8,0.1526,20.68,Physics-constrained model (calibrated to species optima from literature),Modelled
Scenedesmus quadricauda,Bold's Basal,13.8,475,1885.4,147.4,3.26,9.2,0.08,20.5,0.198,21.62,Physics-constrained model (calibrated to species optima from literature),Modelled
Neochloris oleoabundans,BG-11,25.3,181,570.2,86.0,4.19,6.5,0.47,46.7,0.4511,26.89,Physics-constrained model (calibrated to species optima from literature),Modelled
